,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,1,5,0000000000,0,S,13,3
0,2,7,0000000000,0,A,19,9
0,3,5,0000000000,0,B,13,3
0,4,8,0000000000,0,C,18,8
0,5,20,0001000000,64,D,2,2
0,6,10,0001000000,64,S,16,6
0,7,10,0001000000,64,A,13,3
0,8,8,0000000000,0,B,13,3
0,9,7,0000000000,0,C,18,8
0,10,7,0000000000,0,D,12,2
0,11,7,0000000000,0,S,16,6
0,12,8,0000000000,0,A,18,8
0,13,11,0000000000,0,B,18,8
0,14,8,0000000000,0,C,18,8
0,15,3,0000000000,0,D,13,3
0,16,4,0000000000,0,S,16,6
0,17,8,0000000000,0,A,19,9
0,18,6,0000000000,0,B,18,8
0,19,5,0000000000,0,C,16,6
0,20,6,0000000000,0,D,18,8
0,21,1,0001000000,64,S,13,3
0,22,6,0000100000,32,A,19,9
0,23,6,0010000000,128,B,18,8
0,24,5,0000000000,0,C,18,8
0,25,4,0000000000,0,D,13,3
0,26,2,0001000000,64,S,10,0
0,27,5,0000100000,32,A,18,8
0,28,7,0000000000,0,B,18,8
0,29,6,0000000000,0,C,17,7
0,30,5,0000000000,0,D,18,8
0,31,4,0000000000,0,S,17,7
0,32,4,0000000000,0,A,19,9
0,33,6,0000000000,0,B,18,8
0,34,8,0000000000,0,C,18,8
0,35,6,0000000000,0,D,19,9
0,36,4,0000000000,0,S,17,7
0,37,5,0000000000,0,A,18,8
0,38,5,0000000000,0,B,18,8
0,39,9,0000000000,0,C,19,9
0,40,7,0000000000,0,D,19,9
0,41,5,0000000000,0,S,17,7
0,42,10,0000100000,32,A,19,9
0,43,5,0000000000,0,B,18,8
0,44,5,0000000000,0,C,19,9
0,45,5,0000000000,0,D,19,9
0,46,7,0000000000,0,S,16,6
0,47,8,0000100000,32,A,19,9
0,48,7,0000000000,0,B,19,9
0,49,7,0000000000,0,C,18,8
0,50,20,0000100000,32,D,2,2
0,51,8,0001000000,64,S,17,7
0,52,7,0000000000,0,A,18,8
0,53,9,0010000000,128,B,19,9
0,54,7,0000000000,0,C,16,6
0,55,7,0000000000,0,D,18,8
0,56,5,0000000000,0,S,17,7
0,57,3,0000000000,0,A,14,4
0,58,7,0000000000,0,B,19,9
0,59,7,0000000000,0,C,16,6
0,60,6,0000000000,0,D,15,5
0,61,4,0000000000,0,S,17,7
0,62,5,0000000000,0,A,14,4
0,63,6,0000000000,0,B,16,6
0,64,4,0000000000,0,C,16,6
0,65,7,0000000000,0,D,13,3
0,66,5,0000000000,0,S,12,2
0,67,6,0000100000,32,A,19,9
0,68,10,0000000000,0,B,18,8
0,69,8,0000000000,0,C,18,8
0,70,5,0000000000,0,D,16,6
0,71,4,0000000000,0,S,16,6
0,72,7,0000100000,32,A,18,8
0,73,9,0000000000,0,B,19,9
0,74,7,0000000000,0,C,18,8
0,75,8,0000000000,0,D,18,8
0,76,6,0000000000,0,S,12,2
0,77,4,0000100000,32,A,19,9
0,78,6,0000000000,0,B,18,8
0,79,4,0000000000,0,C,16,6
0,80,6,0000000000,0,D,12,2
0,81,13,0000100000,32,S,12,2
0,82,6,0000000000,0,A,13,3
0,83,15,0011000000,192,B,13,3
0,84,3,0000000000,0,C,16,6
0,85,9,0000000000,0,D,12,2
0,86,7,0000000000,0,S,16,6
0,87,5,0000000000,0,A,14,4
0,88,5,0010000000,128,B,19,9
0,89,7,0000000000,0,C,18,8
0,90,6,0000000000,0,D,19,9
0,91,6,0000000000,0,S,17,7
0,92,10,0000100000,32,A,19,9
0,93,5,0000000000,0,B,13,3
0,94,6,0000010000,16,C,18,8
0,95,3,0000000000,0,D,16,6
0,96,2,0000000000,0,S,10,0
0,97,6,0000000000,0,A,19,9
0,98,5,0000000000,0,B,19,9
0,99,8,0000000000,0,C,18,8
0,100,8,0000000000,0,D,19,9
0,101,5,0000000000,0,S,12,2
0,102,3,0000000000,0,A,15,5
0,103,20,0000100000,32,B,2,2
0,104,4,0000000000,0,C,18,8
0,105,13,0000000000,0,D,19,9
0,106,7,0000000000,0,S,17,7
0,107,6,0000100000,32,A,19,9
0,108,6,0000000000,0,B,19,9
0,109,7,0000010000,16,C,19,9
0,110,7,0000100000,32,D,12,2
0,111,6,0000000000,0,S,12,2
0,112,6,0000100000,32,A,19,9
0,113,7,0000000000,0,B,18,8
0,114,5,0000000000,0,C,18,8
0,115,10,0000000000,0,D,18,8
0,116,3,0000000000,0,S,17,7
0,117,6,0000000000,0,A,19,9
0,118,6,0000000000,0,B,19,9
0,119,6,0000000000,0,C,18,8
0,120,9,0000000000,0,D,18,8
0,121,6,0000000000,0,S,17,7
0,122,5,0000100000,32,A,18,8
0,123,7,0000000000,0,B,19,9
0,124,6,0000000000,0,C,19,9
0,125,4,0000000000,0,D,18,8
0,126,3,0000000000,0,S,10,0
0,127,4,0000100000,32,A,13,3
0,128,7,0000000000,0,B,19,9
0,129,6,0000000000,0,C,16,6
0,130,5,0000000000,0,D,12,2
0,131,8,0001000000,64,S,17,7
0,132,7,0001000000,64,A,12,2
0,133,15,0001000000,64,B,13,3
0,134,7,0000000000,0,C,19,9
0,135,5,0000000000,0,D,13,3
0,136,4,0000000000,0,S,12,2
0,137,6,0000000000,0,A,19,9
0,138,7,0000000000,0,B,19,9
0,139,7,0000000000,0,C,19,9
0,140,7,0000000000,0,D,19,9
0,141,5,0001000000,64,S,11,1
0,142,5,0000100000,32,A,19,9
0,143,6,0000000000,0,B,19,9
0,144,7,0000000000,0,C,18,8
0,145,16,0000100000,32,D,19,9
0,146,3,0000000000,0,S,16,6
0,147,8,0000000000,0,A,12,2
0,148,20,0000000000,0,B,2,2
0,149,8,0000000000,0,C,18,8
0,150,6,0000000000,0,D,12,2
0,151,6,0000000000,0,S,17,7
0,152,4,0000000000,0,A,18,8
0,153,14,0001000000,64,B,12,2
0,154,4,0000000000,0,C,18,8
0,155,3,0000000000,0,D,13,3
0,156,4,0001000000,64,S,16,6
0,157,7,0000000000,0,A,19,9
0,158,2,0000000000,0,B,12,2
0,159,3,0000000000,0,C,18,8
0,160,3,0000000000,0,D,12,2
0,161,2,0000000000,0,S,10,0
0,162,3,0000000000,0,A,19,9
0,163,5,0000000000,0,B,18,8
0,164,6,0000000000,0,C,16,6
0,165,3,0000000000,0,D,19,9
0,166,7,0000000000,0,S,17,7
0,167,3,0000000000,0,A,15,5
0,168,6,0000000000,0,B,18,8
0,169,9,0000000000,0,C,18,8
0,170,8,0000000000,0,D,12,2
0,171,6,0000000000,0,S,17,7
0,172,10,0000000000,0,A,18,8
0,173,13,0000000000,0,B,19,9
